smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles
CCCCCCCCCOC(=O)c1cc(C2CC2)[nH]c1C1CC1,114813,1,126,0.5004895627498627,0.5004895627498627,1,1458,24223646,O=C(O)c1cc(C2CC2)[nH]c1C1CC1,624,CCCCCCCCCCl
CCCc1ccc(C23CC(C(=O)OCCCCCCCCCC4CC4)(C2)C3)cc1,114879,1,174,0.4991540312767029,0.4991540312767029,1,1458,26630760,CCCc1ccc(C23CC(C(=O)O)(C2)C3)cc1,24674011,BrCCCCCCCCCC1CC1
CC(F)(F)CCCN(CCCC(C)(F)F)CC(CF)OS(=O)(=O)C(F)(F)F,114808,1,124,0.4985048443078995,0.4985048443078995,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,26577752,O=S(=O)(OC(CF)CF)C(F)(F)F
FC(F)(F)C1(CCN(CCC2CC2)CC2CC2)CCC1,114760,1,89,0.4984079867601395,0.4984079867601395,1,2230,23691524,C(CC1CC1)NCC1CC1,24655555,FC(F)(F)C1(CCCl)CCC1
CC1(C)CC1CCN(CCC1CC1)CC1CC1,114710,1,50,0.4983788400888443,0.4983788400888443,1,2230,23691524,C(CC1CC1)NCC1CC1,25180527,CC1(C)CC1CCBr
CCCCCOc1ccc(Br)cc1CN(CCC1CC1)CC1CC1,114720,1,63,0.49805958569049835,0.49805958569049835,1,2230,23691524,C(CC1CC1)NCC1CC1,2428463,CCCCCOc1ccc(Br)cc1CBr
CC(F)(F)CCCN(CCCC(C)(F)F)CCC1(C(F)(F)F)CCC1,114654,1,14,0.4978030025959015,0.4978030025959015,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24655555,FC(F)(F)C1(CCCl)CCC1
COCCC1(CN(CCC(C)C)CCC(C)C)CC1,114858,1,156,0.4976926624774933,0.4976926624774933,1,2230,1053,CC(C)CCNCCC(C)C,10551125,COCCC1(CCl)CC1
CC(F)(F)CCCN(CCCC(C)(F)F)C(F)CC1(CBr)CCC1,114821,1,132,0.49736686050891876,0.49736686050891876,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24600895,FC(F)CC1(CBr)CCC1
CCCCCOc1ccc(N(CCC2CC2)CC2CC2)cc1CBr,114719,0,63,0.49734207391738894,0.0,1,2230,23691524,C(CC1CC1)NCC1CC1,2428463,CCCCCOc1ccc(Br)cc1CBr
O=C(Oc1cc(I)cc(CCl)c1)c1cc(C2CC2)[nH]c1C1CC1,114716,1,55,0.4972641199827194,0.4972641199827194,1,1458,24223646,O=C(O)c1cc(C2CC2)[nH]c1C1CC1,9971226,ClCc1cc(I)cc(I)c1
CCCc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Oc1ccccc1-c1nc(NC(=O)CCl)sc1-c1ccccc1Cl,114831,1,136,0.4971792668104172,0.4971792668104172,1,1458,5150486,CCCc1onc(-c2c(Cl)cccc2Cl)c1C(=O)O,6229,O=C(CCl)Nc1nc(-c2ccccc2Cl)c(-c2ccccc2Cl)s1
CCCc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Oc1ccccc1-c1sc(NC(=O)CCl)nc1-c1ccccc1Cl,114832,0,136,0.4971660256385803,0.0,1,1458,5150486,CCCc1onc(-c2c(Cl)cccc2Cl)c1C(=O)O,6229,O=C(CCl)Nc1nc(-c2ccccc2Cl)c(-c2ccccc2Cl)s1
CC(F)(F)CCCN(CCCC(C)(F)F)CC1(CC(F)F)CCC1,114822,0,132,0.4971044957637787,0.0,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24600895,FC(F)CC1(CBr)CCC1
O=C(OCc1cc(I)cc(I)c1)c1cc(C2CC2)[nH]c1C1CC1,114715,0,55,0.49707586467266085,0.0,1,1458,24223646,O=C(O)c1cc(C2CC2)[nH]c1C1CC1,9971226,ClCc1cc(I)cc(I)c1
CC(C)CC(C)N(CCCC(C)(F)F)CCCC(C)(F)F,114780,1,104,0.49694928526878357,0.49694928526878357,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,11378571,CC(C)CC(C)I
CC12CC(N(CCC3CC3)CC3CC3)(C1)C2,114704,1,47,0.4967513233423233,0.4967513233423233,1,2230,23691524,C(CC1CC1)NCC1CC1,25216964,CC12CC(I)(C1)C2
CCc1cc(Oc2ccc(N(CCCC(C)(F)F)CCCC(C)(F)F)cc2CCl)ccc1Cl,114751,1,86,0.49637106359004973,0.49637106359004973,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,6852628,CCc1cc(Oc2ccc(F)cc2CCl)ccc1Cl
CCc1cc(Oc2ccc(F)cc2CN(CCCC(C)(F)F)CCCC(C)(F)F)ccc1Cl,114752,0,86,0.49628264605998995,0.0,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,6852628,CCc1cc(Oc2ccc(F)cc2CCl)ccc1Cl
FC(F)(N(CCC1CC1)CC1CC1)C1(CCCl)CCC1,114759,0,89,0.49617854356765745,0.0,1,2230,23691524,C(CC1CC1)NCC1CC1,24655555,FC(F)(F)C1(CCCl)CCC1
CC(Cl)C(=O)Nc1ccc(OC(F)N(CCC2CC2)CC2CC2)c(Cl)c1,114797,1,120,0.495861753821373,0.495861753821373,1,2230,23691524,C(CC1CC1)NCC1CC1,11747,CC(Cl)C(=O)Nc1ccc(OC(F)F)c(Cl)c1
CC(F)(F)CCCN(CCCC(C)(F)F)c1c(Cl)cccc1Oc1ccc(CCl)cc1,114856,1,152,0.49545858800411224,0.49545858800411224,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,3575934,ClCc1ccc(Oc2cccc(Cl)c2Cl)cc1
CC(C)CCN(CCC(C)C)C(=O)CN(CCCC(C)(F)F)CCCC(C)(F)F,114744,1,81,0.4953690737485886,0.4953690737485886,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,6153,CC(C)CCN(CCC(C)C)C(=O)CCl
CC(F)(F)CCCN(CCCC(C)(F)F)C(F)(F)C1(CCCl)CCC1,114653,0,14,0.49520000219345095,0.0,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24655555,FC(F)(F)C1(CCCl)CCC1
FC(F)(F)c1cccc(CN(CCCCCC2CC2)Cc2cccc(C(F)(F)F)c2)c1,114667,1,28,0.49515995681285857,0.49515995681285857,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,24674025,BrCCCCCC1CC1
